I,I,VALENTINE,"Cease to persuade, my loving Proteus:"
I,I,VALENTINE,"Home-keeping youth have ever homely wits."
I,I,VALENTINE,"Were't not affection chains thy tender days"
I,I,VALENTINE,"To the sweet glances of thy honour'd love,"
I,I,VALENTINE,"I rather would entreat thy company"
I,I,VALENTINE,"To see the wonders of the world abroad,"
I,I,VALENTINE,"Than, living dully sluggardized at home,"
I,I,VALENTINE,"Wear out thy youth with shapeless idleness."
I,I,VALENTINE,"But since thou lovest, love still and thrive therein,"
I,I,VALENTINE,"Even as I would when I to love begin."
I,I,PROTEUS,"Wilt thou be gone? Sweet Valentine, adieu!"
I,I,PROTEUS,"Think on thy Proteus, when thou haply seest"
I,I,PROTEUS,"Some rare note-worthy object in thy travel:"
I,I,PROTEUS,"Wish me partaker in thy happiness"
I,I,PROTEUS,"When thou dost meet good hap; and in thy danger,"
I,I,PROTEUS,"If ever danger do environ thee,"
I,I,PROTEUS,"Commend thy grievance to my holy prayers,"
I,I,PROTEUS,"For I will be thy beadsman, Valentine."
I,I,VALENTINE,"And on a love-book pray for my success?"
I,I,PROTEUS,"Upon some book I love I'll pray for thee."
I,I,VALENTINE,"That's on some shallow story of deep love:"
I,I,VALENTINE,"How young Leander cross'd the Hellespont."
I,I,PROTEUS,"That's a deep story of a deeper love:"
I,I,PROTEUS,"For he was more than over shoes in love."
I,I,VALENTINE,"'Tis true; for you are over boots in love,"
I,I,VALENTINE,"And yet you never swum the Hellespont."
I,I,PROTEUS,"Over the boots? nay, give me not the boots."
I,I,VALENTINE,"No, I will not, for it boots thee not."
I,I,PROTEUS,"What?"
I,I,VALENTINE,"To be in love, where scorn is bought with groans;"
I,I,VALENTINE,"Coy looks with heart-sore sighs; one fading moment's mirth"
I,I,VALENTINE,"With twenty watchful, weary, tedious nights:"
I,I,VALENTINE,"If haply won, perhaps a hapless gain;"
I,I,VALENTINE,"If lost, why then a grievous labour won;"
I,I,VALENTINE,"However, but a folly bought with wit,"
I,I,VALENTINE,"Or else a wit by folly vanquished."
I,I,PROTEUS,"So, by your circumstance, you call me fool."
I,I,VALENTINE,"So, by your circumstance, I fear you'll prove."
I,I,PROTEUS,"'Tis love you cavil at: I am not Love."
I,I,VALENTINE,"Love is your master, for he masters you:"
I,I,VALENTINE,"And he that is so yoked by a fool,"
I,I,VALENTINE,"Methinks, should not be chronicled for wise."
I,I,PROTEUS,"Yet writers say, as in the sweetest bud"
I,I,PROTEUS,"The eating canker dwells, so eating love"
I,I,PROTEUS,"Inhabits in the finest wits of all."
I,I,VALENTINE,"And writers say, as the most forward bud"
I,I,VALENTINE,"Is eaten by the canker ere it blow,"
I,I,VALENTINE,"Even so by love the young and tender wit"
I,I,VALENTINE,"Is turn'd to folly, blasting in the bud,"
I,I,VALENTINE,"Losing his verdure even in the prime"
I,I,VALENTINE,"And all the fair effects of future hopes."
I,I,VALENTINE,"But wherefore waste I time to counsel thee,"
I,I,VALENTINE,"That art a votary to fond desire?"
I,I,VALENTINE,"Once more adieu! my father at the road"
I,I,VALENTINE,"Expects my coming, there to see me shipp'd."
I,I,PROTEUS,"And thither will I bring thee, Valentine."
